997.200000,-384.700000,319.000000	997.200000,-349.700000,319.000000	937.200000,-349.700000,319.000000	937.200000,-384.700000,319.000000	997.200000,-384.700000,428.000000	997.200000,-349.700000,428.000000	937.200000,-349.700000,428.000000	937.200000,-384.700000,428.000000
1100.100000,-345.000000,313.000000	1100.100000,-300.000000,313.000000	1000.100000,-300.000000,313.000000	1000.100000,-345.000000,313.000000	1100.100000,-345.000000,471.000000	1100.100000,-300.000000,471.000000	1000.100000,-300.000000,471.000000	1000.100000,-345.000000,471.000000
1167.900000,-381.000000,313.000000	1167.900000,-276.000000,313.000000	1127.900000,-276.000000,313.000000	1127.900000,-381.000000,313.000000	1167.900000,-381.000000,400.000000	1167.900000,-276.000000,400.000000	1127.900000,-276.000000,400.000000	1127.900000,-381.000000,400.000000
1217.300000,-338.900000,313.000000	1217.300000,-315.900000,313.000000	1167.300000,-315.900000,313.000000	1167.300000,-338.900000,313.000000	1217.300000,-338.900000,400.000000	1217.300000,-315.900000,400.000000	1167.300000,-315.900000,400.000000	1167.300000,-338.900000,400.000000
1271.200000,-363.800000,307.000000	1271.200000,-290.800000,307.000000	1236.200000,-290.800000,307.000000	1236.200000,-363.800000,307.000000	1271.200000,-363.800000,392.000000	1271.200000,-290.800000,392.000000	1236.200000,-290.800000,392.000000	1236.200000,-363.800000,392.000000
499.500000,-459.500000,317.000000	499.500000,-398.500000,317.000000	453.500000,-398.500000,317.000000	453.500000,-459.500000,317.000000	499.500000,-459.500000,315.000000	499.500000,-398.500000,315.000000	453.500000,-398.500000,315.000000	453.500000,-459.500000,315.000000
405.300000,-517.700000,317.000000	405.300000,-475.700000,317.000000	379.300000,-475.700000,317.000000	379.300000,-517.700000,317.000000	405.300000,-517.700000,325.000000	405.300000,-475.700000,325.000000	379.300000,-475.700000,325.000000	379.300000,-517.700000,325.000000
480.900000,-508.700000,319.000000	480.900000,-469.700000,319.000000	450.900000,-469.700000,319.000000	450.900000,-508.700000,319.000000	480.900000,-508.700000,347.000000	480.900000,-469.700000,347.000000	450.900000,-469.700000,347.000000	450.900000,-508.700000,347.000000
574.200000,-522.300000,319.000000	574.200000,-399.300000,319.000000	517.200000,-399.300000,319.000000	517.200000,-522.300000,319.000000	574.200000,-522.300000,361.000000	574.200000,-399.300000,361.000000	517.200000,-399.300000,361.000000	517.200000,-522.300000,361.000000
634.400000,-522.000000,325.000000	634.400000,-398.000000,325.000000	575.400000,-398.000000,325.000000	575.400000,-522.000000,325.000000	634.400000,-522.000000,391.000000	634.400000,-398.000000,391.000000	575.400000,-398.000000,391.000000	575.400000,-522.000000,391.000000
772.000000,-522.000000,333.000000	772.000000,-400.000000,333.000000	658.000000,-400.000000,333.000000	658.000000,-522.000000,333.000000	772.000000,-522.000000,420.000000	772.000000,-400.000000,420.000000	658.000000,-400.000000,420.000000	658.000000,-522.000000,420.000000
863.600000,-452.200000,331.000000	863.600000,-433.200000,331.000000	801.600000,-433.200000,331.000000	801.600000,-452.200000,331.000000	863.600000,-452.200000,410.000000	863.600000,-433.200000,410.000000	801.600000,-433.200000,410.000000	801.600000,-452.200000,410.000000
864.200000,-492.100000,331.000000	864.200000,-473.100000,331.000000	802.200000,-473.100000,331.000000	802.200000,-492.100000,331.000000	864.200000,-492.100000,410.000000	864.200000,-473.100000,410.000000	802.200000,-473.100000,410.000000	802.200000,-492.100000,410.000000
914.100000,-432.200000,321.000000	914.100000,-402.200000,321.000000	864.100000,-402.200000,321.000000	864.100000,-432.200000,321.000000	914.100000,-432.200000,425.000000	914.100000,-402.200000,425.000000	864.100000,-402.200000,425.000000	864.100000,-432.200000,425.000000
911.700000,-484.300000,322.000000	911.700000,-444.300000,322.000000	885.700000,-444.300000,322.000000	885.700000,-484.300000,322.000000	911.700000,-484.300000,347.000000	911.700000,-444.300000,347.000000	885.700000,-444.300000,347.000000	885.700000,-484.300000,347.000000
912.300000,-524.900000,325.000000	912.300000,-494.900000,325.000000	862.300000,-494.900000,325.000000	862.300000,-524.900000,325.000000	912.300000,-524.900000,425.000000	912.300000,-494.900000,425.000000	862.300000,-494.900000,425.000000	862.300000,-524.900000,425.000000
1005.000000,-463.600000,322.000000	1005.000000,-433.600000,322.000000	935.000000,-433.600000,322.000000	935.000000,-463.600000,322.000000	1005.000000,-463.600000,348.000000	1005.000000,-433.600000,348.000000	935.000000,-433.600000,348.000000	935.000000,-463.600000,348.000000
